ActionGeo_Fullname (52)	ActionGeo_Lat (56)	ActionGeo_Long (57)	Actor1Name (6)	Actor1Geo_Fullname (36)	Actor2Name (16)	Actor2Geo_Fullname (44)	EventCode (26)	QuadClass  (29)	AvgTone (34)	SourceURL (60)
"North Hollywood, California, United States"	48.8667	2.33333	UNITED STATES	"North Hollywood, California, United States"	SENATE	"North Hollywood, California, United States"	Make a visit	Verbal Cooperation	-0.5803	http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-after-holding-out-on-housing-vote-an-1505532854-htmlstory.html
"Montreal, Quebec, Canada"	48.8667	2.33333	CANADA	"Montreal, Quebec, Canada"	SENATE	"Montreal, Quebec, Canada"	"Consult, not specified below"	Material Conflict	-0.6049	https://www.insidebelleville.com/whatson-story/7558928-brooklyn-beckham-s-university-fangirls-/
"Sacramento, California, United States"	43.6667	-79.4167	ADVOCATE	"California, United States"			"Express intent to cooperate, not specified below"	Material Conflict	-0.6157	http://www.orovillemr.com/general-news/20170915/package-of-bills-intended-to-make-housing-more-affordable-sent-to-governor
"Sacramento, California, United States"	23	-102	SENATE	"Sacramento, California, United States"			"Express intent to cooperate, not specified below"	Material Conflict	-0.6157	http://www.orovillemr.com/general-news/20170915/package-of-bills-intended-to-make-housing-more-affordable-sent-to-governor
"Sacramento, California, United States"	39.828175	-98.5795	SENATE	"Sacramento, California, United States"			Make a visit	Verbal Cooperation	-0.6157	http://www.orovillemr.com/general-news/20170915/package-of-bills-intended-to-make-housing-more-affordable-sent-to-governor
"Sacramento, California, United States"	60	-96	UNITED STATES	"Sacramento, California, United States"			"Arrest, detain, or charge with legal action"	Verbal Cooperation	-0.6157	http://www.orovillemr.com/general-news/20170915/package-of-bills-intended-to-make-housing-more-affordable-sent-to-governor
"Sacramento, California, United States"	18.3333	-64.8333			UNITED STATES	"Sacramento, California, United States"	"Engage in material cooperation, not specified below"	Verbal Cooperation	-0.6157	http://www.orovillemr.com/general-news/20170915/package-of-bills-intended-to-make-housing-more-affordable-sent-to-governor
"New York, United States"	51.5	-0.116667	GENERAL ASSEMBLY	"Abuja, Abuja Federal Capital Territory, Nigeria"	NIGERIA	"New York, United States"	"Physically assault, not specified below"	Verbal Cooperation	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"Abuja, Abuja Federal Capital Territory, Nigeria"	38.8951	-77.0364	NIGERIA	"Abuja, Abuja Federal Capital Territory, Nigeria"	PRESIDENT	"New York, United States"	"Physically assault, not specified below"	Verbal Conflict	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
"New York, United States"	54	-4	NIGERIA	"New York, United States"	GENERAL ASSEMBLY	"Abuja, Abuja Federal Capital Territory, Nigeria"	"Make an appeal or request, not specified below"	Verbal Conflict	-0.641	http://punchng.com/buhari-returns-to-london-next-week-presidency/
