ActionGeo_Fullname (52)	ActionGeo_Lat (56)	ActionGeo_Long (57)	Actor1Name (6)	Actor1Geo_Fullname (36)	Actor2Name (16)	Actor2Geo_Fullname (44)	EventCode (26)	QuadClass  (29)	AvgTone (34)	SourceURL (60)
"Evesham, Worcestershire, United Kingdom"	42.1497	-74.9384	UNITED KINGDOM	"Evesham, Worcestershire, United Kingdom"	UNITED KINGDOM	"Evesham, Worcestershire, United Kingdom"	"Make statement, not specified below"	Material Conflict	-1.92	http://www.eveshamjournal.co.uk/news/national/15539536.Two_senior_staff_at_Equifax_to_retire_following_data_breach/
"Evesham, Worcestershire, United Kingdom"	23	-102	UNITED KINGDOM	"Evesham, Worcestershire, United Kingdom"	UNITED KINGDOM	"Evesham, Worcestershire, United Kingdom"	"Disapprove, not specified below"	Verbal Cooperation	-1.92	http://www.eveshamjournal.co.uk/news/national/15539536.Two_senior_staff_at_Equifax_to_retire_following_data_breach/
Germany	23	-102	GERMANY	Germany	WRITER	Germany	"Disapprove, not specified below"	Verbal Cooperation	-1.9417	http://bwog.com/2017/09/15/relearning-history-a-discussion-on-archiving-with-tina-campt/
South Africa	39.7334	-75.133	PRISONER	Germany			"Make an appeal or request, not specified below"	Verbal Cooperation	-1.9417	http://bwog.com/2017/09/15/relearning-history-a-discussion-on-archiving-with-tina-campt/
Germany	60	-96	PRISONER	South Africa			"Ease administrative sanctions, not specified below"	Material Conflict	-1.9417	http://bwog.com/2017/09/15/relearning-history-a-discussion-on-archiving-with-tina-campt/
South Africa	23	-102	PRISONER	South Africa			"Ease administrative sanctions, not specified below"	Verbal Cooperation	-1.9417	http://bwog.com/2017/09/15/relearning-history-a-discussion-on-archiving-with-tina-campt/
Germany	23	-102	WRITER	Germany			"Ease administrative sanctions, not specified below"	Verbal Cooperation	-1.9417	http://bwog.com/2017/09/15/relearning-history-a-discussion-on-archiving-with-tina-campt/
South Africa	60	-96	WRITER	South Africa			"Disapprove, not specified below"	Verbal Cooperation	-1.9417	http://bwog.com/2017/09/15/relearning-history-a-discussion-on-archiving-with-tina-campt/
Germany	15.5	-90.25	WRITER	Germany	GERMANY	Germany	"Disapprove, not specified below"	Verbal Cooperation	-1.9417	http://bwog.com/2017/09/15/relearning-history-a-discussion-on-archiving-with-tina-campt/
South Africa	60	-96	WRITER	South Africa	GERMANY	South Africa	"Ease administrative sanctions, not specified below"	Verbal Cooperation	-1.9417	http://bwog.com/2017/09/15/relearning-history-a-discussion-on-archiving-with-tina-campt/
	23	-102	COMPANIES				"Ease administrative sanctions, not specified below"	Verbal Cooperation	-1.978	http://www.newindianexpress.com/states/karnataka/2017/sep/16/pslv-c39-failure-a-minor-hitch-hasnt-hit-business-antrix-cmd-1658069.html
United Kingdom	47.5002	-111.301	MINIST	United Kingdom	PRISONER	United Kingdom	"Arrest, detain, or charge with legal action"	Verbal Cooperation	-1.9886	http://www.bviplatinum.com/news.php?articleId=27945
United Kingdom	47.5002	-111.301	PRISONER	United Kingdom	MINIST	United Kingdom	"Arrest, detain, or charge with legal action"	Verbal Conflict	-1.9886	http://www.bviplatinum.com/news.php?articleId=27945
Virgin Islands	31.5497	74.3436	PRISONER	Virgin Islands	MINIST	Virgin Islands	Host a visit	Verbal Conflict	-1.9886	http://www.bviplatinum.com/news.php?articleId=27945
United Kingdom	31.5497	74.3436	PRISONER	United Kingdom	MINIST	United Kingdom	"Disapprove, not specified below"	Verbal Cooperation	-1.9886	http://www.bviplatinum.com/news.php?articleId=27945
Virgin Islands	31.5497	74.3436	UNITED KINGDOM	Virgin Islands	PRISON	Virgin Islands	"Disapprove, not specified below"	Verbal Cooperation	-1.9886	http://www.bviplatinum.com/news.php?articleId=27945
"Cambridge, Cambridgeshire, United Kingdom"	14.6042	120.982	POLICE	"Cambridge, Cambridgeshire, United Kingdom"			Criticize or denounce	Verbal Cooperation	-2.0202	http://www.mychamplainvalley.com/news/vermont-state-police-investigating-projectiles-hitting-cars-on-route-15-in-cambridge/812243610
"Cambridge, Cambridgeshire, United Kingdom"	13.1027	103.198	POLICE	"Cambridge, Cambridgeshire, United Kingdom"			"Make statement, not specified below"	Verbal Cooperation	-2.0202	http://www.mychamplainvalley.com/news/vermont-state-police-investigating-projectiles-hitting-cars-on-route-15-in-cambridge/812243610
"Kane County, Utah, United States"	-8.6291	116.31	NEW HAMPSHIRE	"Kane County, Utah, United States"			Engage in negotiation	Verbal Cooperation	-2.0579	http://www.concordmonitor.com/He-cared-about-the-elderly-and-died-too-young-12503477
"Salt Lake City, Utah, United States"	-8.6291	116.31	NEW HAMPSHIRE	"Salt Lake City, Utah, United States"			Engage in negotiation	Verbal Cooperation	-2.0579	http://www.concordmonitor.com/He-cared-about-the-elderly-and-died-too-young-12503477
"Utah, United States"	-8.6291	116.31	NEW HAMPSHIRE	"Utah, United States"			Engage in negotiation	Verbal Cooperation	-2.0579	http://www.concordmonitor.com/He-cared-about-the-elderly-and-died-too-young-12503477
"Utah, United States"	-8.6291	116.31	UNITED STATES	"Utah, United States"			Engage in negotiation	Verbal Cooperation	-2.0579	http://www.concordmonitor.com/He-cared-about-the-elderly-and-died-too-young-12503477
"Utah, United States"	37	127.5			UNITED STATES	"Utah, United States"	Engage in negotiation	Verbal Cooperation	-2.0579	http://www.concordmonitor.com/He-cared-about-the-elderly-and-died-too-young-12503477
"Kane County, Utah, United States"	31.106	-97.6475			NEW HAMPSHIRE	"Kane County, Utah, United States"	"Make statement, not specified below"	Verbal Cooperation	-2.0579	http://www.concordmonitor.com/He-cared-about-the-elderly-and-died-too-young-12503477
"Salt Lake City, Utah, United States"	23.2667	77.4			NEW HAMPSHIRE	"Salt Lake City, Utah, United States"	Make a visit	Verbal Cooperation	-2.0579	http://www.concordmonitor.com/He-cared-about-the-elderly-and-died-too-young-12503477
"Utah, United States"	34.0522	-118.244			NEW HAMPSHIRE	"Utah, United States"	"Accuse, not specified below"	Verbal Cooperation	-2.0579	http://www.concordmonitor.com/He-cared-about-the-elderly-and-died-too-young-12503477
"Tokyo, Tokyo, Japan"			JAPAN	"Tokyo, Tokyo, Japan"	UNITED STATES	"Tokyo, Tokyo, Japan"	Make a visit	Verbal Conflict	-2.1429	https://fortunascorner.com/2017/09/15/north-koreas-threat-pushes-japan-tto-reassess-might-rights/
"Tokyo, Tokyo, Japan"	49.8833	-97.1667	JAPAN	"Tokyo, Tokyo, Japan"	UNITED STATES	"Washington, District of Columbia, United States"	"Make an appeal or request, not specified below"	Verbal Conflict	-2.1429	https://fortunascorner.com/2017/09/15/north-koreas-threat-pushes-japan-tto-reassess-might-rights/
"Tokyo, Tokyo, Japan"	23.2667	77.4	JAPAN	"Tokyo, Tokyo, Japan"	UNITED STATES	"Tokyo, Tokyo, Japan"	Make a visit	Verbal Cooperation	-2.1429	https://fortunascorner.com/2017/09/15/north-koreas-threat-pushes-japan-tto-reassess-might-rights/
"Tokyo, Tokyo, Japan"	25	79.5	JAPAN	"Tokyo, Tokyo, Japan"	UNITED STATES	"Washington, District of Columbia, United States"	Make a visit	Material Cooperation	-2.1429	https://fortunascorner.com/2017/09/15/north-koreas-threat-pushes-japan-tto-reassess-might-rights/
"Tokyo, Tokyo, Japan"	38.4623	-92.302	MILITARY	North Korea	JAPAN	"Tokyo, Tokyo, Japan"	"Consult, not specified below"	Verbal Cooperation	-2.1429	https://fortunascorner.com/2017/09/15/north-koreas-threat-pushes-japan-tto-reassess-might-rights/
"Tokyo, Tokyo, Japan"	16.166667	107.833333	TELEVISION	"Tokyo, Tokyo, Japan"	TOKYO	"Tokyo, Tokyo, Japan"	"Use conventional military force, not specified below"	Verbal Cooperation	-2.1429	https://fortunascorner.com/2017/09/15/north-koreas-threat-pushes-japan-tto-reassess-might-rights/
"Hiroshima, Hiroshima, Japan"	43.5131	-114.301	TOKYO	North Korea	AUTHORITIES	"Hiroshima, Hiroshima, Japan"	"Use conventional military force, not specified below"	Verbal Cooperation	-2.1429	https://fortunascorner.com/2017/09/15/north-koreas-threat-pushes-japan-tto-reassess-might-rights/
"Washington, District of Columbia, United States"	16.166667	107.833333	UNITED STATES	"Washington, District of Columbia, United States"	CHINA	South Korea	"Use conventional military force, not specified below"	Material Conflict	-2.1429	https://fortunascorner.com/2017/09/15/north-koreas-threat-pushes-japan-tto-reassess-might-rights/
"Montana, United States"	8.5	4.55			ARMY RESERVE	"Montana, United States"	"Make statement, not specified below"	Material Conflict	-2.1672	http://www.kulr8.com/story/36380217/american-flag-found-in-army-reserve-dumpster
"Houston, Texas, United States"	37.669	-84.6514	BORDER PATROL	"Houston, Texas, United States"			"Make statement, not specified below"	Verbal Cooperation	-2.1869	http://www.kens5.com/news/politics/national-politics/daca-recipient-detained-by-border-patrol-placed-in-cell-for-hours-before-his-release/475358112
"Colorado, United States"	46.9048	-110.326	DENVER	"Colorado, United States"	UNITED KINGDOM	Norway	"Make statement, not specified below"	Verbal Cooperation	-2.1898	http://www.9news.com/news/mayor-hancock-denver-officials-in-london-during-friday-terrorist-attack/475404730
Norway	51.4667	-0.45	DENVER	Norway	UNITED KINGDOM	Norway	"Make an appeal or request, not specified below"	Verbal Cooperation	-2.1898	http://www.9news.com/news/mayor-hancock-denver-officials-in-london-during-friday-terrorist-attack/475404730
"Denver, Colorado, United States"	13	105	DENVER	"London, London, City of, United Kingdom"	NORWEGIAN	"Denver, Colorado, United States"	"Consult, not specified below"	Verbal Cooperation	-2.1898	http://www.9news.com/news/mayor-hancock-denver-officials-in-london-during-friday-terrorist-attack/475404730
Norway	42.2373	-71.5314	DENVER	"Denver, Colorado, United States"	NORWEGIAN	Norway	"Consult, not specified below"	Verbal Cooperation	-2.1898	http://www.9news.com/news/mayor-hancock-denver-officials-in-london-during-friday-terrorist-attack/475404730
Norway	38.5816	-121.494	MAYOR	Norway	LONDON	Norway	Praise or endorse	Verbal Cooperation	-2.1898	http://www.9news.com/news/mayor-hancock-denver-officials-in-london-during-friday-terrorist-attack/475404730
"Ibadan, Oyo, Nigeria"	38.5816	-121.494	MALE	"Ibadan, Oyo, Nigeria"			Provide economic aid	Verbal Cooperation	-2.2018	http://thenationonlineng.net/search-greener-pastures-oman-landed-hell-says-lady-returnee/
"Ibadan, Oyo, Nigeria"	48.8667	2.33333	NIGERIAN	"Ibadan, Oyo, Nigeria"			"Investigate, not specified below"	Verbal Cooperation	-2.2018	http://thenationonlineng.net/search-greener-pastures-oman-landed-hell-says-lady-returnee/
Oman	51.4667	-0.45	OMAN	Oman			"Investigate, not specified below"	Material Cooperation	-2.2018	http://thenationonlineng.net/search-greener-pastures-oman-landed-hell-says-lady-returnee/
Oman					OMAN	Oman	"Use conventional military force, not specified below"	Material Cooperation	-2.2018	http://thenationonlineng.net/search-greener-pastures-oman-landed-hell-says-lady-returnee/
"Toronto, Ontario, Canada"	13	105	FRANCE	Mexico			Engage in negotiation	Verbal Cooperation	-2.2302	http://www.kelownadailycourier.ca/news/world_news/article_ca14e1f7-d450-52b2-9bc5-4d9a3b6eceee.html
Mexico	46.9048	-110.326	FRANCE	Mexico			"Demand material cooperation, not specified below"	Verbal Cooperation	-2.2302	http://www.kelownadailycourier.ca/news/world_news/article_ca14e1f7-d450-52b2-9bc5-4d9a3b6eceee.html
"Toronto, Ontario, Canada"	42.1497	-74.9384	NORTH KOREA	"Toronto, Ontario, Canada"			Express intent to meet or negotiate	Verbal Cooperation	-2.2302	http://www.kelownadailycourier.ca/news/world_news/article_ca14e1f7-d450-52b2-9bc5-4d9a3b6eceee.html
"Toronto, Ontario, Canada"	-12.05	-77.05	NORTH KOREA	Mexico			"Accuse, not specified below"	Verbal Cooperation	-2.2302	http://www.kelownadailycourier.ca/news/world_news/article_ca14e1f7-d450-52b2-9bc5-4d9a3b6eceee.html
"Columbus, Ohio, United States"	-12.05	-77.05	UNITED STATES	"Columbus, Ohio, United States"			"Arrest, detain, or charge with legal action"	Material Cooperation	-2.2876	http://nbc4i.com/2017/09/15/fire-ball-ride-to-be-dismantled-and-inspected-at-ohio-state-fairgrounds/
Nigeria	32.9212	-117.117	GOODLUCK JONATHAN	Nigeria	PRESIDENT	Nigeria	Praise or endorse	Verbal Cooperation	-2.2901	http://punchng.com/ipob-jonathan-asks-buhari-to-reach-out-to-ex-presidents-govs/
Nigeria	61.385	-152.268	GOODLUCK JONATHAN	Nigeria	COUNCIL OF STATE	Nigeria	"Make statement, not specified below"	Verbal Cooperation	-2.2901	http://punchng.com/ipob-jonathan-asks-buhari-to-reach-out-to-ex-presidents-govs/
Nigeria	20	77	GOODLUCK JONATHAN	Nigeria	NIGERIA	Nigeria	"Make statement, not specified below"	Verbal Cooperation	-2.2901	http://punchng.com/ipob-jonathan-asks-buhari-to-reach-out-to-ex-presidents-govs/
Nigeria	37.669	-84.6514	NEWSPAPER	Nigeria	PRESIDENT	Nigeria	"Make statement, not specified below"	Material Conflict	-2.2901	http://punchng.com/ipob-jonathan-asks-buhari-to-reach-out-to-ex-presidents-govs/
Nigeria	32.7153	-117.157	PRESIDENT	Nigeria	NIGERIA	Nigeria	Express intent to meet or negotiate	Verbal Cooperation	-2.2901	http://punchng.com/ipob-jonathan-asks-buhari-to-reach-out-to-ex-presidents-govs/
Nigeria	32.7153	-117.157			PRESIDENT	Nigeria	Express intent to meet or negotiate	Verbal Cooperation	-2.2901	http://punchng.com/ipob-jonathan-asks-buhari-to-reach-out-to-ex-presidents-govs/
Nigeria	32.9212	-117.117			NIGERIAN	Nigeria	Express intent to meet or negotiate	Verbal Cooperation	-2.2901	http://punchng.com/ipob-jonathan-asks-buhari-to-reach-out-to-ex-presidents-govs/
"Rocky Mountain House, Alberta, Canada"	32.7153	-117.157	CANADA	"Rocky Mountain House, Alberta, Canada"			"Consult, not specified below"	Material Cooperation	-2.2989	http://www.pentictonherald.ca/news/national_news/article_a89cf366-e252-58f5-99ce-b19f80752cd9.html
Mexico	32.9212	-117.117	CANADA	"Rocky Mountain House, Alberta, Canada"			"Consult, not specified below"	Material Cooperation	-2.2989	http://www.pentictonherald.ca/news/national_news/article_a89cf366-e252-58f5-99ce-b19f80752cd9.html
"Panama City Beach, Florida, United States"	32.9212	-117.117	PANAMA CITY	"Panama City Beach, Florida, United States"			"Consult, not specified below"	Material Cooperation	-2.3474	http://www.mypanhandle.com/news/bay-county-tourist-development-council-prepares-for-fall-events/812219969
"Panama City Beach, Florida, United States"			PANAMA CITY	"Panama City Beach, Florida, United States"	UNITED STATES	"Panama City Beach, Florida, United States"	Host a visit	Verbal Cooperation	-2.3474	http://www.mypanhandle.com/news/bay-county-tourist-development-council-prepares-for-fall-events/812219969
"Panama City Beach, Florida, United States"	32.7153	-117.157	UNITED STATES	"Panama City Beach, Florida, United States"			Praise or endorse	Material Cooperation	-2.3474	http://www.mypanhandle.com/news/bay-county-tourist-development-council-prepares-for-fall-events/812219969
	32.9212	-117.117	SCHOOL				Praise or endorse	Verbal Cooperation	-2.3766	http://www.dnaindia.com/delhi/report-schools-continue-to-flout-safety-norms-2546013
	32.9212	-117.117	HIMACHAL PRADESH				Praise or endorse	Material Cooperation	-2.3891	http://www.news18.com/news/movies/kangana-ranaut-never-approached-us-says-maharashtra-womens-panel-chief-1519529.html
"Ankara, Ankara, Turkey"	7.28333	81.6667	FRANCE	"Ankara, Ankara, Turkey"	JOURNALIST	France	Host a visit	Material Cooperation	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
France	7.2083	79.8358	FRANCE	France	JOURNALIST	France	Make a visit	Material Cooperation	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
"Ankara, Ankara, Turkey"	53.3331	-6.24889	JOURNALIST	France	FRANCE	"Ankara, Ankara, Turkey"	"Consult, not specified below"	Verbal Cooperation	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
France	49.75	6.166667	JOURNALIST	France	FRANCE	France	"Consult, not specified below"	Material Conflict	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
France	32.9866	-83.6487	MEDIA	France	FRANCE	France	"Disapprove, not specified below"	Verbal Cooperation	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
France	32.9866	-83.6487	MEDIA	France	FRANCE	France	"Disapprove, not specified below"	Material Conflict	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
France			MEDIA	France	FRANCE	France	Express intent to meet or negotiate	Material Conflict	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
"Ankara, Ankara, Turkey"	37.768	-78.2057	TURKEY	"Ankara, Ankara, Turkey"	FRENCH	"Ankara, Ankara, Turkey"	"Arrest, detain, or charge with legal action"	Verbal Cooperation	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
"Ankara, Ankara, Turkey"	37.5538	-77.4603	TURKEY	"Ankara, Ankara, Turkey"	FRENCH	France	"Arrest, detain, or charge with legal action"	Verbal Cooperation	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
France	33.4936	-117.148	TURKEY	France	FRENCH	France	Occupy territory	Verbal Cooperation	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
"Anadolu, Turkey (general), Turkey"	33.7334	-116.051	TURKISH	"Silopi, Sirnak, Turkey"			Occupy territory	Verbal Cooperation	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
"Anadolu, Turkey (general), Turkey"	7.38778	3.89639			TURKEY	"Silopi, Sirnak, Turkey"	"Make statement, not specified below"	Verbal Cooperation	-2.439	http://www.wral.com/turkey-to-release-jailed-french-journalist-watchdog-group/16950044/
Togo			FAURE GNASSINGBE	Togo	OPPOSITION LEADER	Togo	"Use conventional military force, not specified below"	Verbal Cooperation	-2.445	http://guardian.ng/news/constitutional-reform-in-togo-urgent-parliament-head/
Togo	6.33333	7	FAURE GNASSINGBE	Togo	OPPOSITION LEADER	Togo	"Make statement, not specified below"	Verbal Cooperation	-2.445	http://guardian.ng/news/constitutional-reform-in-togo-urgent-parliament-head/
Togo	11.5	13	FAURE GNASSINGBE	Togo	LOME	Togo	"Make statement, not specified below"	Verbal Cooperation	-2.445	http://guardian.ng/news/constitutional-reform-in-togo-urgent-parliament-head/
Togo	6.59422	3.33748	HEAD OF STATE	Togo			"Make statement, not specified below"	Verbal Cooperation	-2.445	http://guardian.ng/news/constitutional-reform-in-togo-urgent-parliament-head/
Togo	8.5	4.55	LOME	Togo	FAURE GNASSINGBE	Togo	"Make statement, not specified below"	Verbal Cooperation	-2.445	http://guardian.ng/news/constitutional-reform-in-togo-urgent-parliament-head/
Togo	11.9964	8.51667	OPPOSITION LEADER	Togo	FAURE GNASSINGBE	Togo	"Make statement, not specified below"	Verbal Cooperation	-2.445	http://guardian.ng/news/constitutional-reform-in-togo-urgent-parliament-head/
Togo	11.5	8.5	TOGO	Togo	TOGO	Togo	"Make statement, not specified below"	Verbal Cooperation	-2.445	http://guardian.ng/news/constitutional-reform-in-togo-urgent-parliament-head/
Togo	8.5	5	TOGO	Togo	TOGO	Togo	"Make statement, not specified below"	Verbal Conflict	-2.445	http://guardian.ng/news/constitutional-reform-in-togo-urgent-parliament-head/
"Montreal, Quebec, Canada"	11.8464	13.1603	CANADA	"Montreal, Quebec, Canada"	SENATE	Iraq	"Make statement, not specified below"	Verbal Cooperation	-2.459	https://www.insidebelleville.com/whatson-story/7558808-rosie-o-donnell-s-ex-wife-dead/
"Montreal, Quebec, Canada"	7	3.58333	CANADA	"Montreal, Quebec, Canada"	SENATE	Iraq	"Make statement, not specified below"	Verbal Cooperation	-2.459	https://www.insidebelleville.com/whatson-story/7558808-rosie-o-donnell-s-ex-wife-dead/
"Montreal, Quebec, Canada"	6.5	7.5	DAKOTA	"Montreal, Quebec, Canada"			"Make statement, not specified below"	Material Cooperation	-2.459	https://www.insidebelleville.com/whatson-story/7558808-rosie-o-donnell-s-ex-wife-dead/
	41.5834	-72.7622	QUEENSLAND		RESIDENTS		"Make statement, not specified below"	Material Cooperation	-2.4691	https://www.ipswichadvertiser.com.au/news/stay-informed-crews-monitor-murphys-creek-bushfire/3224737/
"Leavenworth County, Kansas, United States"	45.5	-73.5833	UNITED STATES	"Leavenworth County, Kansas, United States"			Engage in symbolic act	Material Cooperation	-2.5126	http://www.kshb.com/news/local-news/tensions-run-high-in-tonganoxie-over-tyson-foods-inc-plant
"Leavenworth County, Kansas, United States"	49.25	-123.133			RESIDENTS	"Leavenworth County, Kansas, United States"	"Make an appeal or request, not specified below"	Material Cooperation	-2.5126	http://www.kshb.com/news/local-news/tensions-run-high-in-tonganoxie-over-tyson-foods-inc-plant
"Bonner Springs, Kansas, United States"	42.3765	-71.2356			UNITED STATES	"Bonner Springs, Kansas, United States"	"Make an appeal or request, not specified below"	Material Cooperation	-2.5126	http://www.kshb.com/news/local-news/tensions-run-high-in-tonganoxie-over-tyson-foods-inc-plant
"Athens, AttikíR, Greece"	6.59422	3.33748	ATHENS	"Athens, AttikíR, Greece"			Appeal for diplomatic cooperation (such as policy support)	Material Cooperation	-2.5157	http://www.msn.com/en-gb/news/world/plane-catches-fire-as-mans-journey-from-london-to-athens-turns-into-33-hour-odyssey/ar-AArZLaO
"Heathrow, Hillingdon, United Kingdom"	6.45306	3.39583			ATHENS	"Heathrow, Hillingdon, United Kingdom"	Appeal for diplomatic cooperation (such as policy support)	Verbal Cooperation	-2.5157	http://www.msn.com/en-gb/news/world/plane-catches-fire-as-mans-journey-from-london-to-athens-turns-into-33-hour-odyssey/ar-AArZLaO
"Heathrow, Hillingdon, United Kingdom"	39.9272	32.8644			ATHENS	"Athens, AttikíR, Greece"	"Consult, not specified below"	Material Cooperation	-2.5157	http://www.msn.com/en-gb/news/world/plane-catches-fire-as-mans-journey-from-london-to-athens-turns-into-33-hour-odyssey/ar-AArZLaO
	51.5	10.5	POLICE		SCHOOL		Make a visit	Verbal Cooperation	-2.521	http://www.mcall.com/news/police/mc-pol-blue-mountain-school-goes-boom-threat-20170915-story.html
Japan	-30	26	NORTH KOREA	Japan	UN SECURITY COUNCIL	Japan	Make a visit	Verbal Cooperation	-2.5362	http://www.newsnow.in/news/homestays-and-rural-tourism-meet-kicks-off
"Bengaluru, Karnataka, India"	37.8696	-122.259	UN SECURITY COUNCIL	"Bengaluru, Karnataka, India"	NORTH KOREA	North Korea	"Engage in diplomatic cooperation, not specified below"	Verbal Cooperation	-2.5362	http://www.newsnow.in/news/homestays-and-rural-tourism-meet-kicks-off
"Bengaluru, Karnataka, India"	37.8696	-122.259	UN SECURITY COUNCIL	North Korea	NORTH KOREA	North Korea	"Disapprove, not specified below"	Verbal Cooperation	-2.5362	http://www.newsnow.in/news/homestays-and-rural-tourism-meet-kicks-off
"Indiana, United States"	60	-96	UNITED STATES	"Indiana, United States"	MEDIA	"Indiana, United States"	"Impose administrative sanctions, not specified below"	Verbal Cooperation	-2.5674	http://www.mercedsunstar.com/news/local/community/article173525826.html
"Indiana, United States"	16.45	120.55			UNITED STATES	"Indiana, United States"	Impose restrictions on political freedoms	Verbal Cooperation	-2.5674	http://www.mercedsunstar.com/news/local/community/article173525826.html
India	-33.9167	18.4167	DOCTOR	India			Make a visit	Verbal Cooperation	-2.5707	http://www.kwch.com/content/news/Family-members-from-India-remember-Dr-Achutha-Reddy-444760713.html
India	-33.9167	18.4167			DOCTOR	India	Host a visit	Verbal Cooperation	-2.5707	http://www.kwch.com/content/news/Family-members-from-India-remember-Dr-Achutha-Reddy-444760713.html
	42.1497	-74.9384	MALE		SCHOOL		"Make an appeal or request, not specified below"	Verbal Cooperation	-2.6651	http://www.dnaindia.com/india/report-how-safe-is-your-child-s-school-2545964
	42.1497	-74.9384	SCHOOL				Praise or endorse	Verbal Cooperation	-2.6651	http://www.dnaindia.com/india/report-how-safe-is-your-child-s-school-2545964
"Toronto, Ontario, Canada"	51.5	10.5	CANADA	Iraq	SENATE	"Toronto, Ontario, Canada"	Make a visit	Verbal Cooperation	-2.6973	https://www.insidebelleville.com/news-story/7558423-ex-hudbay-guard-faces-new-trial-in-guatemala/
Iraq	-30	26	IRAQ	Iraq	CANADA	"Toronto, Ontario, Canada"	Make a visit	Verbal Cooperation	-2.6973	https://www.insidebelleville.com/news-story/7558423-ex-hudbay-guard-faces-new-trial-in-guatemala/
"Pyongyang, P'yongyang-si, North Korea"	46	2	SECURITY COUNCIL	"Pyongyang, P'yongyang-si, North Korea"	PYONGYANG	"Pyongyang, P'yongyang-si, North Korea"	"Express intent to cooperate, not specified below"	Material Conflict	-2.7254	Yonhap news agency in English/BBC Monitoring/(c) BBC
"Ankara, Ankara, Turkey"	46	2	JOURNALIST	"Ankara, Ankara, Turkey"			Express intent to engage in diplomatic cooperation (such as policy support)	Material Conflict	-2.7553	http://www.express.co.uk/news/world/854504/EU-Turkey-negotiator-blackmail-Omer-Celik-Jean-Claude-Juncker
"Blue Springs, Missouri, United States"	39.9272	32.8644	UNITED STATES	"Blue Springs, Missouri, United States"	NEIGHBORHOOD	"Blue Springs, Missouri, United States"	Make a visit	Verbal Cooperation	-2.8351	http://www.kshb.com/news/local-news/family-battles-hoa-over-granddaughter-s-playhouse
"Blue Springs, Missouri, United States"	46	2	UNITED STATES	"Blue Springs, Missouri, United States"	UNITED STATES	"Blue Springs, Missouri, United States"	Make a visit	Verbal Cooperation	-2.8351	http://www.kshb.com/news/local-news/family-battles-hoa-over-granddaughter-s-playhouse
"Ilorin, Kwara, Nigeria"	46	2	HOUSE OF ASSEMBLY	"Ilorin, Kwara, Nigeria"			Engage in judicial cooperation	Verbal Cooperation	-2.9316	http://punchng.com/kwara-loses-former-speaker/
"Ilorin, Kwara, Nigeria"	28.6	77.2	NIGERIA	"Ilorin, Kwara, Nigeria"			"Make statement, not specified below"	Verbal Cooperation	-2.9316	http://punchng.com/kwara-loses-former-speaker/
"Ilorin, Kwara, Nigeria"	10	8	NIGERIA	"Ilorin, Kwara, Nigeria"	NIGERIA	"Ilorin, Kwara, Nigeria"	"Make an appeal or request, not specified below"	Verbal Cooperation	-2.9316	http://punchng.com/kwara-loses-former-speaker/
"Ilorin, Kwara, Nigeria"	6.5	7.5	WEBSITE	"Ilorin, Kwara, Nigeria"			Engage in negotiation	Verbal Cooperation	-2.9316	http://punchng.com/kwara-loses-former-speaker/
"Vietnam, Republic Of"			LAOS	"Vietnam, Republic Of"	COMMANDER	"Vietnam, Republic Of"	"Make an appeal or request, not specified below"	Material Cooperation	-2.963	https://www.yahoo.com/news/story-behind-pow-mia-flag-130039972.html
"City Of Hailey, Idaho, United States"	53.3331	-6.24889	LAOS	"City Of Hailey, Idaho, United States"	UNITED STATES	"City Of Hailey, Idaho, United States"	"Yield, not specified below"	Verbal Cooperation	-2.963	https://www.yahoo.com/news/story-behind-pow-mia-flag-130039972.html
"Vietnam, Republic Of"	35.685	139.751	LAOS	"Vietnam, Republic Of"	UNITED STATES	"Vietnam, Republic Of"	Fight with small arms and light weapons	Material Cooperation	-2.963	https://www.yahoo.com/news/story-behind-pow-mia-flag-130039972.html
"Quebec, Quebec, Canada"	54.65	-8.11667	ONTARIO	"Quebec, Quebec, Canada"	TORONTO	"Quebec, Quebec, Canada"	"Yield, not specified below"	Verbal Cooperation	-2.974	https://www.insidebelleville.com/news-story/7558941-worker-dies-after-fall-at-toronto-eaton-centre/
"Tokyo, Tokyo, Japan"	9.08333	7.53333	NORTH KOREA	"Pyongyang, P'yongyang-si, North Korea"	JAPAN	"Tokyo, Tokyo, Japan"	"Make statement, not specified below"	Verbal Cooperation	-2.9925	http://www.businesstimes.com.sg:80/government-economy/north-korea-seeks-equilibrium-with-us-says-nuclear-capability-nearly-complete
